date,daily_demand,avg_price,price_std,min_price,max_price,median_price,customer_type,year,month,day,dayofweek,quarter,weekofyear,demand_lag_1,price_lag_1,demand_lag_2,price_lag_2,demand_lag_3,price_lag_3,demand_lag_7,price_lag_7,demand_lag_14,price_lag_14,demand_lag_30,price_lag_30,demand_ma_3,price_ma_3,demand_std_3,price_std_3,demand_ma_7,price_ma_7,demand_std_7,price_std_7,demand_ma_14,price_ma_14,demand_std_14,price_std_14,demand_ma_30,price_ma_30,demand_std_30,price_std_30,price_range,price_cv,is_weekend,is_month_start,is_month_end,season,demand_price_ratio,price_demand_elasticity,demand_trend,price_trend
2015-07-01,88,93.61,21.0,0.0,154.77,101.5,线上用户,2015,7,1,2,3,27,88.0,93.61,88.0,93.61,88.0,93.61,88.0,93.61,88.0,93.61,88.0,93.61,88.0,93.61,41.71930009000631,1.2445079348883221,88.0,93.61,41.71930009000631,1.2445079348883221,88.0,93.61,41.71930009000631,1.2445079348883221,88.0,93.61,41.71930009000631,1.2445079348883221,154.77,0.22433500691973776,0,1,0,2,0.9400705051874725,0.028042781592955084,0.0,0.0
2015-07-02,29,91.85,33.08,55.68,199.5,88.2,线上用户,2015,7,2,3,3,27,88.0,93.61,88.0,93.61,88.0,93.61,88.0,93.61,88.0,93.61,88.0,93.61,58.5,92.72999999999999,41.71930009000631,1.2445079348883221,58.5,92.72999999999999,41.71930009000631,1.2445079348883221,58.5,92.72999999999999,41.71930009000631,1.2445079348883221,58.5,92.72999999999999,41.71930009000631,1.2445079348883221,143.82,0.36015242238866063,0,1,0,2,0.31573217198522247,0.028042781592955084,-59.0,-1.7600000000000242
2015-07-03,35,98.93,35.1,43.0,201.0,91.5,线上用户,2015,7,3,4,3,27,29.0,91.85,88.0,93.61,88.0,93.61,88.0,93.61,88.0,93.61,88.0,93.61,50.666666666666664,94.79666666666667,32.47049943153529,3.686154274217696,50.666666666666664,94.79666666666667,32.47049943153529,3.686154274217696,50.666666666666664,94.79666666666667,32.47049943153529,3.686154274217696,50.666666666666664,94.79666666666667,32.47049943153529,3.686154274217696,158.0,0.35479632059488564,0,1,0,2,0.3537855048666951,0.37256394497586837,-26.500000000000004,2.659999999999988
2015-07-04,38,85.6,28.86,55.68,163.0,73.8,线上用户,2015,7,4,5,3,27,35.0,98.93,29.0,91.85,88.0,93.61,88.0,93.61,88.0,93.61,88.0,93.61,34.0,92.12666666666667,4.582575694955816,6.669305311149987,47.5,92.4975,27.258026340878022,5.495740016897943,47.5,92.4975,27.258026340878022,5.495740016897943,47.5,92.4975,27.258026340878022,5.495740016897943,107.32,0.33714953267089376,1,0,0,2,0.44392523359299946,-1.5719867433847967,-14.400000000000015,-1.6950000000000118
2015-07-05,31,103.8,35.87,55.68,225.0,97.0,线上用户,2015,7,5,6,3,27,38.0,85.6,35.0,98.93,29.0,91.85,88.0,93.61,88.0,93.61,88.0,93.61,34.666666666666664,96.11000000000001,3.511884584284214,9.422011462527525,44.2,94.758,24.7325696198353,6.942742253605563,44.2,94.758,24.7325696198353,6.942742253605563,44.2,94.758,24.7325696198353,6.942742253605563,169.32,0.3455684007374212,1,0,0,2,0.2986512523797061,-1.1542056701335146,-10.500000000000009,1.4129999999999816
2015-07-06,32,105.41,34.41,47.25,185.0,99.4,线上用户,2015,7,6,0,3,28,31.0,103.8,38.0,85.6,35.0,98.93,88.0,93.61,88.0,93.61,88.0,93.61,33.666666666666664,98.27,3.785938897200152,11.00203163056715,42.166666666666664,96.53333333333335,22.67524347535582,7.581041265332006,42.166666666666664,96.53333333333335,22.67524347535582,7.581041265332006,42.166666666666664,96.53333333333335,22.67524347535582,7.581041265332006,137.75,0.3264396167036866,0,0,0,2,0.3035765107386798,0.4808283673208523,-7.742857142857142,2.329142857142856
2015-07-07,19,108.21,33.92,55.68,193.0,110.5,线上用户,2015,7,7,1,3,28,32.0,105.41,31.0,103.8,38.0,85.6,88.0,93.61,88.0,93.61,88.0,93.61,27.333333333333332,105.80666666666666,7.2341781380702175,2.231598828941577,38.857142857142854,98.20142857142856,22.475383359196726,8.208001032674215,38.857142857142854,98.20142857142856,22.475383359196726,8.208001032674215,38.857142857142854,98.20142857142856,22.475383359196726,8.208001032674215,137.32,0.3134645596235594,0,0,0,2,0.1755845115815928,-0.06538571162095161,-7.32142857142857,2.706785714285708
2015-07-08,40,78.59,33.21,55.68,155.0,62.0,线上用户,2015,7,8,2,3,28,19.0,108.21,32.0,105.41,31.0,103.8,88.0,93.61,88.0,93.61,88.0,93.61,30.333333333333332,97.40333333333332,10.598742063723085,16.3528631539964,32.0,96.05571428571429,6.928203230275515,11.071931263549365,39.0,95.75,20.81208440168493,10.28702233746134,39.0,95.75,20.81208440168493,10.28702233746134,99.32,0.4225728463643501,0,0,0,2,0.508970606882686,-0.24765777078440115,-0.17857142857142722,-0.05035714285714106
2015-07-09,20,91.05,27.9,55.68,159.74,88.4,线上用户,2015,7,9,3,3,28,40.0,78.59,19.0,108.21,32.0,105.41,29.0,91.85,88.0,93.61,88.0,93.61,26.333333333333332,92.61666666666667,11.846237095944563,14.872018468699293,30.714285714285715,95.94142857142856,8.280786712108256,11.126572441040153,36.888888888888886,95.22777777777777,20.47220337704545,9.74932917920225,36.888888888888886,95.22777777777777,20.47220337704545,9.74932917920225,104.06,0.30642504115250685,0,0,0,2,0.21965952770789024,-0.3170886944700345,-1.8928571428571401,-1.1874999999999962
2015-07-10,34,114.62,24.87,73.8,185.0,110.65,线上用户,2015,7,10,4,3,28,20.0,91.05,40.0,78.59,19.0,108.21,35.0,98.93,88.0,93.61,88.0,93.61,31.333333333333332,94.75333333333333,10.263202878893756,18.2982576584038,30.571428571428573,98.18285714285715,8.202786982831773,13.213586081865026,36.6,97.167,19.322985736624084,11.049624478284821,36.6,97.167,19.322985736624084,11.049624478284821,111.2,0.2169778397996006,0,0,0,2,0.29663235034927304,0.369812499620079,-0.928571428571429,1.2407142857142917
2015-07-11,52,103.08,31.38,51.96,196.0,94.5,线上用户,2015,7,11,5,3,28,34.0,114.62,20.0,91.05,40.0,78.59,38.0,85.6,88.0,93.61,88.0,93.61,35.333333333333336,102.91666666666667,16.041612554021278,11.78584885926057,32.57142857142857,100.67999999999999,11.399665826346885,12.038803927301087,38.0,97.70454545454545,18.9103146457165,10.633122178961703,38.0,97.70454545454545,18.9103146457165,10.633122178961703,144.04,0.3044237485152868,1,0,0,2,0.5044625533076773,-0.19017429214833356,2.428571428571429,-0.032142857142854954
2015-07-12,35,121.72,28.5,78.84,196.0,119.7,线上用户,2015,7,12,6,3,28,52.0,103.08,34.0,114.62,20.0,91.05,31.0,103.8,88.0,93.61,88.0,93.61,40.333333333333336,113.14,10.115993936995663,9.407720233935553,33.142857142857146,103.24000000000001,11.408017231002818,14.472207848148122,37.75,99.70583333333333,18.05106393238108,12.281964203537223,37.75,99.70583333333333,18.05106393238108,12.281964203537223,117.16,0.23414393688513443,1,0,0,2,0.2875451856484107,-0.5531283695408284,2.4642857142857153,2.6678571428571374
2015-07-13,29,110.98,29.79,63.75,175.71,110.0,线上用户,2015,7,13,0,3,29,35.0,121.72,52.0,103.08,34.0,114.62,32.0,105.41,88.0,93.61,88.0,93.61,38.666666666666664,111.92666666666666,11.930353445448839,9.355989169154363,32.714285714285715,104.03571428571429,11.513966674062795,14.761635926891548,37.07692307692308,100.57307692307693,17.452132336105038,12.167725331531352,37.07692307692308,100.57307692307693,17.452132336105038,12.167725331531352,111.96000000000001,0.2684267435332108,0,0,0,2,0.2613083438221924,0.5147059123774523,1.8571428571428588,3.8071428571428636
2015-07-14,14,121.95,54.17,8.0,230.67,110.52,线上用户,2015,7,14,1,3,29,29.0,110.98,35.0,121.72,52.0,103.08,19.0,108.21,88.0,93.61,88.0,93.61,26.0,118.21666666666668,10.816653826391947,6.268192190203924,32.0,105.99857142857142,12.609520212918495,16.247885430183864,35.42857142857143,102.10000000000001,17.865800099262646,13.011753266832379,35.42857142857143,102.10000000000001,17.865800099262646,13.011753266832379,222.67,0.44419844194799524,0,0,0,2,0.11480114800206632,-0.19110350582718402,-2.1071428571428545,6.322857142857142
2015-07-15,31,84.16,49.65,41.72,216.13,62.0,线上用户,2015,7,15,2,3,29,14.0,121.95,29.0,110.98,35.0,121.72,40.0,78.59,88.0,93.61,88.0,93.61,24.666666666666668,105.69666666666666,9.291573243177545,19.441096505427215,30.714285714285715,106.7942857142857,12.10666876442189,14.749146706553189,31.357142857142858,101.425,9.499855406649763,13.712316614018107,35.13333333333333,100.904,17.25384705204141,13.366701056837368,174.41,0.5899477185610804,0,0,0,2,0.36834600756079544,-0.255196196919198,-1.0714285714285696,0.06749999999999835
2015-07-16,28,121.41,25.91,75.44,169.0,120.96,线上用户,2015,7,16,3,3,29,31.0,84.16,14.0,121.95,29.0,110.98,20.0,91.05,29.0,91.85,88.0,93.61,24.333333333333332,109.17333333333333,9.07377172587744,21.66386469061635,31.857142857142858,111.13142857142859,11.275764148954927,13.779724753626779,31.285714285714285,103.53642857142857,9.522673924970794,14.383925112720506,34.6875,102.185625,16.76392456039655,13.893827871276752,93.56,0.21340910961095388,0,0,0,2,0.23062350710562365,-4.573630067031759,-2.8928571428571392,-0.6157142857142841
2015-07-17,91,111.14,22.18,84.8,192.0,109.0,线上用户,2015,7,17,4,3,29,28.0,121.41,31.0,84.16,14.0,121.95,34.0,114.62,35.0,98.93,88.0,93.61,50.0,105.57000000000001,35.53871128783372,19.239524422396745,40.0,110.63428571428572,25.139610179953067,13.69540538178512,35.285714285714285,104.40857142857142,18.619380190578813,14.453136927081506,38.0,102.71235294117646,21.213203435596427,13.626814342231533,107.2,0.19956811227284793,0,0,0,2,0.8187871152763374,-0.037595292184812,3.749999999999999,-0.11642857142857573
2015-07-18,63,92.28,41.54,84.46000000000001,191.0,75.0,线上用户,2015,7,18,5,3,29,91.0,111.14,28.0,121.41,31.0,84.16,52.0,103.08,38.0,85.6,88.0,93.61,60.666666666666664,108.27666666666666,31.56474826976026,14.774580648307207,41.57142857142857,109.09142857142857,26.33031929707109,15.2125742162763,37.07142857142857,104.88571428571429,20.04404490774595,13.883481448932653,39.388888888888886,102.13277777777778,21.406812793756295,13.446689426619018,106.53999999999999,0.4501517121315397,1,0,0,2,0.6827048113694512,0.5515116249063126,7.92857142857143,-3.1621428571428476
2015-07-19,23,119.99,26.7,84.12,201.05,120.6,线上用户,2015,7,19,6,3,29,63.0,92.28,91.0,111.14,28.0,121.41,35.0,121.72,31.0,103.8,88.0,93.61,59.0,107.80333333333334,34.17601498127012,14.153128040589959,39.857142857142854,108.8442857142857,27.205566657264413,14.985576239774545,36.5,106.04214285714285,20.34226369673966,14.448853656190927,38.526315789473685,103.07263157894737,21.140714854550296,13.694942230256338,116.93,0.2225185431933896,1,0,0,2,0.19168264020404346,-0.4729437655763024,5.0,-0.19035714285713817
2015-07-20,41,130.28,30.46,46.66,194.0,122.34,线上用户,2015,7,20,0,3,30,23.0,119.99,63.0,92.28,91.0,111.14,29.0,110.98,32.0,105.41,88.0,93.61,42.333333333333336,114.18333333333332,20.033305601755625,19.65421159276895,41.57142857142857,111.60142857142857,26.78219024437162,17.073960123114805,37.142857142857146,107.81857142857143,20.331321584261,15.828154495242794,38.65,104.43299999999999,20.584293961531372,14.652384070429234,147.34,0.23380411419758948,0,0,0,2,0.3147067853611677,0.1095785745922732,3.571428571428572,2.4114285714285772
2015-07-21,21,124.2,27.44,88.55,177.0,112.05,线上用户,2015,7,21,1,3,30,41.0,130.28,23.0,119.99,63.0,92.28,14.0,121.95,19.0,108.21,88.0,93.61,28.333333333333332,124.82333333333332,11.015141094572204,5.173242052459259,42.57142857142857,111.92285714285715,25.68953835615543,17.32064540202984,37.285714285714285,108.96071428571427,20.200641922125495,16.424258074467268,37.80952380952381,105.37428571428572,20.42943721109088,14.918583569303276,88.45,0.22093397743792803,0,0,0,2,0.16908212559025104,0.09567086471839115,-2.5714285714285725,5.239642857142864
2015-07-22,41,95.0,50.25,84.17999999999999,199.75,62.0,线上用户,2015,7,22,2,3,30,21.0,124.2,41.0,130.28,23.0,119.99,31.0,84.16,40.0,78.59,88.0,93.61,34.333333333333336,116.49333333333333,11.547005383792515,18.860385291221743,44.0,113.47142857142858,25.21243079646758,14.713083099259467,37.357142857142854,110.13285714285713,20.21274214585802,14.57109278863274,37.95454545454545,104.90272727272728,19.948689592306973,14.726096751723638,115.57000000000001,0.528947368365374,0,0,0,2,0.43157894732299174,-0.2468599007896136,-4.392857142857134,-0.5396428571428569
2015-07-23,55,105.85,45.66,79.81,217.05,90.0,线上用户,2015,7,23,3,3,30,41.0,95.0,21.0,124.2,41.0,130.28,28.0,121.41,20.0,91.05,88.0,93.61,39.0,108.35000000000001,17.08800749063506,14.759657855113055,47.857142857142854,111.24857142857141,24.409209815344777,14.487503153374908,39.857142857142854,111.19000000000001,20.064730414172192,13.583529053175448,38.69565217391305,104.94391304347826,19.811463124823593,14.388876303062101,137.24,0.4313651393073817,0,0,0,2,0.5196032120434952,0.3344736744152253,-5.500000000000004,-0.22214285714285834
2015-07-24,34,154.12,35.5,75.44,222.67,159.74,线上用户,2015,7,24,4,3,30,55.0,105.85,41.0,95.0,21.0,124.2,91.0,111.14,34.0,114.62,88.0,93.61,43.333333333333336,118.32333333333334,10.692676621563628,31.47191817054267,39.714285714285715,117.38857142857144,15.499615970665058,21.730841699123882,39.857142857142854,114.01142857142857,20.064730414172192,17.798947616747917,38.5,106.99291666666666,19.399686236817246,17.28583272111352,147.23,0.23033999479429404,0,0,0,2,0.2206073189579154,-1.1943451287904217,-0.8214285714285693,4.355714285714295
2015-07-25,91,87.27,46.2,78.68,233.05,63.0,线上用户,2015,7,25,5,3,30,34.0,154.12,55.0,105.85,41.0,95.0,63.0,92.28,52.0,103.08,88.0,93.61,60.0,115.74666666666667,28.827070610799147,34.506356419264755,43.714285714285715,116.67285714285715,23.86569564398718,22.754044119881726,42.642857142857146,112.88214285714285,24.168024466087555,19.00644998964276,40.6,106.204,21.700614430625386,17.37555035099608,154.37,0.5293915434250727,1,0,0,2,1.0427409188675674,-0.25872981026886677,8.000000000000002,-2.4582142857142806
2015-07-26,27,126.71,37.39,81.92,207.0,127.0,线上用户,2015,7,26,6,3,30,91.0,87.27,34.0,154.12,55.0,105.85,23.0,119.99,35.0,121.72,88.0,93.61,50.666666666666664,122.7,35.10460558578223,33.60492077062525,44.285714285714285,117.63285714285713,23.328911145574185,23.05706234127679,42.07142857142857,113.23857142857142,24.455498943416156,19.230404954791638,40.07692307692308,106.99269230769231,21.428808789894184,17.493035312990667,125.08,0.2950832609663734,1,0,0,2,0.21308499722097035,-0.6425891004625846,3.250000000000001,-0.9089285714285708
2015-07-27,64,110.05,44.84,85.16,195.0,115.4,线上用户,2015,7,27,0,3,31,27.0,126.71,91.0,87.27,34.0,154.12,41.0,130.28,29.0,110.98,88.0,93.61,60.666666666666664,108.00999999999999,32.129944496269104,19.798979771695322,47.57142857142857,114.74285714285715,24.3848118225064,22.467953262581002,44.57142857142857,113.17214285714284,24.802959766665214,19.240410669922117,40.96296296296296,107.10592592592593,21.511144663391224,17.16342046313327,109.84,0.4074511585272648,0,0,0,2,0.5815538391111719,-0.0959458385966529,4.892857142857142,0.0853571428571401
2015-07-28,18,116.25,26.55,88.4,198.8,114.85,线上用户,2015,7,28,1,3,31,64.0,110.05,27.0,126.71,91.0,87.27,21.0,124.2,14.0,121.95,88.0,93.61,36.333333333333336,117.67,24.378952670968726,8.420285030805086,47.142857142857146,113.60714285714286,24.949472749462878,22.108288577127002,44.857142857142854,112.76499999999999,24.44415029238046,19.10017307613891,40.142857142857146,107.4325,21.550482138998202,16.93099931967877,110.4,0.22838709675454735,0,0,1,2,0.1548387096640999,-0.07838334463004865,-2.071428571428566,1.5978571428571466
2015-07-29,24,100.71,45.23,70.93333333333334,170.33,110.21,线上用户,2015,7,29,2,3,31,18.0,116.25,64.0,110.05,27.0,126.71,41.0,95.0,31.0,84.16,88.0,93.61,35.333333333333336,109.00333333333333,25.006665778014735,7.822693483278872,44.714285714285715,114.42285714285713,26.430501859999342,21.40136811381127,44.357142857142854,113.94714285714285,24.818129672470498,17.650732139346093,39.58620689655172,107.20068965517243,21.37341011861519,16.672710365623235,99.39666666666668,0.44911130965652757,0,0,1,2,0.23830801308327795,-0.4010322460335491,-5.428571428571426,-2.442142857142858
